,nickname,comment,operTime,phone,rating
65,l*******,收藏夹可以多个电脑共享，但插件无法共享。,"7/17/2022, 18:53",Mate30-5G版,5
66,狗*******,反正就是喜欢，比某360好多了,"7/17/2022, 16:20",优畅享20-5G,5
67,A*******,用着整体来说很好，但是网页不能分享给微信或者qq好友。很郁闷,"7/17/2022, 09:14",P30,5
68,曲*******,我只能说edge，yyds！！！！！！！！,"7/17/2022, 07:07",Mate30-5G版,5
69,泳*******,换手机了，重新登录输入邮箱后直接白屏，登录不了,"7/16/2022, 23:25",Mate30-Pro,1
70,林*******,给这么低的原因，手机找不到发送到设备的电脑。电脑反过来也是。重新下载，登陆等无法解决该问题。,"7/16/2022, 22:57",nova7-5G,1
71,小*******,界面简洁无广告，好评！！！,"7/16/2022, 18:32",荣耀50SE,5
72,饮*******,非常好用清洁干净,"7/16/2022, 17:35",荣耀50Pro,5
73,杨*******,它比白度好用没有广告,"7/16/2022, 16:58",nova 9,5
74,时*******,好用，不像破百度一堆广告，这个可以自定义关闭,"7/16/2022, 16:14",nova8Pro,5
75,小*******,EDGE永远滴神！浏览器我只用EDGE！,"7/16/2022, 15:29",10.8英寸华为平板M6,5
76,Q*******,虽然一开始登录出了问题，卸载了，但后来就又没事了，还是挺好用的，就是开视频的话，一放大全屏，就出问题，比如一直卡词闪退,"7/16/2022, 01:49",nova8,5
77,本*******,没有广告，清爽简洁，还有多设备同步,"7/15/2022, 19:53",荣耀50,5
78,L*******,最近一周，打开凤凰网页，总弹出广告，无法阅读页面，很烦，是微软自己加的？？？,"7/15/2022, 18:41",Mate8,4
79,蒋*******,和电脑版一样好用,"7/15/2022, 15:21",荣耀9X,5
80,某*******,edge我的超人,"7/15/2022, 15:01",荣耀20Pro,5
81,ㅤ*******,加油，用着很舒服,"7/15/2022, 14:15",华为畅享20SE,5
82,风*******,非常好，唯一缺点就是没有扩展,"7/15/2022, 11:35",P30,5
83,钱*******,赞赞赞，十分推荐,"7/15/2022, 11:09",nova2Plus,5
84,H*******,浏览完一个网页，退回到原来的搜索结果里，总是返回顶部，十分麻烦，但其余的我喜欢，希望能改一下,"7/15/2022, 09:35",荣耀50Pro,4
85,花*******,小巧实用，没弹窗,"7/15/2022, 09:34",荣耀60,5
86,f*******,Edge yyds!!!!!!!,"7/14/2022, 17:12",华为畅享10Plus,5
87,A*******,最近打开特定网页会出现卡死的情况是怎么回事？,"7/14/2022, 14:37",Mate40Pro,4
88,Y*******,真的很棒，可以实现手机与电脑互联～,"7/14/2022, 13:12",nova7-SE,5
89,曦*******,隐私管理做的不错,"7/14/2022, 11:42",nova 9,5
90,散*******,一直在用edge的同步功能。,"7/14/2022, 05:38",荣耀畅玩30Plus,5
91,j*******,chrome内核，主题多样！和电脑Microsoft Edge一样好用！熟悉的强大！,"7/13/2022, 19:24",华为畅享9plus,5
92,L*******,设置-外观，当是黑色时，能否将网页也转成黑色。PC端有插件可以用，但这里不支持插件呀。,"7/13/2022, 18:18",HUAWEI MatePad 11,4
93,铜*******,哪里都好，但是最近识别二维码的那个功能无法使用，难道要我退回到老版本吗？,"7/13/2022, 17:07",Mate40,5
94,梦*******,------追加：这回改成5星了，我下edge的原因是因为它的简洁，之前发现搜索的内容有些是广告项，让我想起之前某些浏览器在搜索时前面几栏全是广告，我想要的内容还得往下翻，这让人很不爽。不过，edge自带的第三方插件adblock plus还是很给力的，去广告有一手。手机版除了不能自定义插件外，其它体验还行。电脑版的edge让我体验非常好，各种功能都让我眼前一亮。手机版edge毕竟是刚开始，有很多需要改进的地方，整体风格看得出是从电脑版移植过来的，有些代码其实不适配一些手机，或者在手机上运行会有很大差距。较明显能看出来的是两者前端都是用的同样的视频播放器，用的代码可能都一模一样。不过edge因为是正式运维才七年的浏览器，功能很多且实用性超过了很多同类产品，虽然很多功能无法移植到手机上，但依旧有很好的未来，期待edge会越来越好吧。,"7/13/2022, 15:29",荣耀8X,5
95,永*******,性能卓越，体验好,"7/13/2022, 13:31",Mate40Pro,5
96,4*******,有了这，谁还用什么百度，360啊，不是我哈外，是你几个真不行啊。,"7/13/2022, 12:30",Mate40Pro,5
97,小*******,很简洁界面，好用方便,"7/13/2022, 09:55",nova 9,5
98,二*******,为什么在平板上不支持分屏呢？,"7/13/2022, 09:47",荣耀平板V7Pro,3
99,苍*******,主页的扫码不能用了，一点就跳一下页面。两个版本了，还不好。😓,"7/13/2022, 09:28",Mate10-Pro,5
